[2025-02-21 22:30:03,366 - test.py:16, Function: my_function] INFO - hello was printed
[2025-02-21 22:31:04,114 - test.py:16, Function: my_function] INFO - hello was printed
[2025-02-21 22:31:11,026 - test.py:16, Function: my_function] INFO - hello was printed
[2025-02-21 22:47:05,455 - test.py:16, Function: my_function] CRITICAL - hello was printed
[2025-02-21 22:47:18,972 - test.py:16, Function: my_function] WARNING - hello was printed[2025-02-21 23:18:43,631 - systeminfo_my_version.py:35, Function: __init__] WARNING - hello was printed
[2025-02-21 23:18:57,801 - systeminfo_my_version.py:35, Function: __init__] WARNING - hello was printed
[2025-02-21 23:20:45,355 - systeminfo_my_version.py:39, Function: get_os_info] INFO - obtaining os info
[2025-02-21 23:24:19,898 - systeminfo_my_version.py:38, Function: get_os_info] INFO - obtaining os info
[2025-02-21 23:24:19,898 - systeminfo_my_version.py:44, Function: get_cpu_info] INFO - obtaining cpu info
[2025-02-21 23:24:20,899 - systeminfo_my_version.py:51, Function: get_memory_info] INFO - obtaining memory info
[2025-02-21 23:24:20,899 - systeminfo_my_version.py:51, Function: get_memory_info] INFO - obtaining memory info
[2025-02-21 23:24:20,900 - systeminfo_my_version.py:51, Function: get_memory_info] INFO - obtaining memory info
[2025-02-21 23:24:20,900 - systeminfo_my_version.py:59, Function: get_hd_info] INFO - obtaining hd info
[2025-02-21 23:24:20,901 - systeminfo_my_version.py:77, Function: get_time_info] INFO - obtaining time info
[2025-02-21 23:24:20,901 - systeminfo_my_version.py:77, Function: get_time_info] INFO - obtaining time info
[2025-02-21 23:24:20,901 - systeminfo_my_version.py:98, Function: display_system_info] INFO - dictionary was created
[2025-02-21 23:42:53,836 - systeminfo_my_version.py:27, Function: get_os_info] INFO - obtaining os info
[2025-02-21 23:42:53,836 - systeminfo_my_version.py:33, Function: get_cpu_info] INFO - obtaining cpu info
[2025-02-21 23:42:54,839 - systeminfo_my_version.py:40, Function: get_memory_info] INFO - obtaining memory info
[2025-02-21 23:42:54,840 - systeminfo_my_version.py:40, Function: get_memory_info] INFO - obtaining memory info
[2025-02-21 23:42:54,840 - systeminfo_my_version.py:40, Function: get_memory_info] INFO - obtaining memory info
